road,time,days,values
1038,4,7,1.0
1226,7,7,1.0
1057,11,7,1.0
1571,7,7,1.0
1090,3,7,1.0
1617,3,7,1.0
1119,13,7,1.0
199,7,7,1.0
1097,7,7,1.0
1162,6,7,1.0
390,7,7,1.0
804,11,7,1.0
1112,4,7,1.0
1126,5,7,1.0
1494,7,7,1.0
1481,6,7,1.0
859,7,7,1.0
808,9,7,1.0
147,13,7,1.0
915,8,7,1.0
292,13,7,1.0
390,9,7,1.0
1466,7,7,1.0
287,13,7,1.0
29,9,7,1.0
909,11,7,1.0
1318,5,7,1.0
1271,12,7,1.0
544,5,7,1.0
1130,13,7,1.0
1256,10,7,1.0
1898,4,7,1.0
814,9,7,1.0
258,7,7,1.0
426,12,7,1.0
2073,15,7,1.0
348,7,7,1.0
936,4,7,1.0
1150,12,7,1.0
859,8,7,1.0
390,4,7,1.0
1499,8,7,1.0
1756,12,7,1.0
1623,10,7,1.0
132,10,7,1.0
1533,8,7,1.0
1712,12,7,1.0
1618,7,7,1.0
590,8,7,1.0
1433,11,7,1.0
684,4,7,1.0
225,5,7,1.0
667,8,7,1.0
1544,4,7,1.0
2184,4,7,1.0
1522,5,7,1.0
1647,8,7,1.0
1524,4,7,1.0
1086,5,7,1.0
1596,4,7,1.0
668,6,7,1.0
1371,4,7,1.0
664,4,7,1.0
1641,1,7,1.0
448,8,7,1.0
173,10,7,1.0
832,9,7,1.0
834,7,7,1.0
472,7,7,1.0
1039,9,7,1.0
29,5,7,1.0
417,6,7,1.0
2051,5,7,1.0
1900,9,7,1.0
956,7,7,1.0
747,7,7,1.0
1380,7,7,1.0
217,5,7,1.0
1540,4,7,1.0
287,8,7,1.0
1892,9,7,1.0
278,4,7,1.0
399,5,7,1.0
1277,7,7,1.0
330,5,7,1.0
330,7,7,1.0
38,10,7,1.0
1068,12,7,1.0
815,9,7,1.0
53,5,7,1.0
742,8,7,1.0
882,4,7,1.0
509,5,7,1.0
606,9,7,1.0
287,5,7,1.0
307,7,7,1.0
1084,8,7,1.0
513,7,7,1.0
299,10,7,1.0
716,5,7,1.0
683,10,7,1.0
456,6,7,1.0
700,3,7,1.0
184,9,7,1.0
911,11,7,1.0
302,7,7,1.0
145,9,7,1.0
517,9,7,1.0
1394,12,7,1.0
167,6,7,1.0
404,9,7,1.0
145,10,7,1.0
426,5,7,1.0
1242,12,7,1.0
610,10,7,1.0
972,9,7,1.0
224,7,7,1.0
1896,3,7,1.0
173,8,7,1.0
456,10,7,1.0
451,12,7,1.0
607,10,7,1.0
